"bed","dauer.t2","case","ok.2","swb1.t2","swb2.t2","swb3.t2","swb4.t2","swb5.t2","swb6.t2","swb7.t2","swb8.t2","swb9.t2","swb10.t2","swb11.t2","swb12.t2","t1.t2","t2.t2","t3.t2","t4.t2","t5.t2","t6.t2","t7.t2","t8.t2","gbk1.t2","gbk2.t2","gbk3.t2","gbk4.t2","gbk5.t2","gbk6.t2","gbk8.t2","gbk9.t2","gbk10.t2","gbk11.t2","gbk12.t2","check.t2","gbk13.t2","gbk14.t2","gbk15.t2","gbk16.t2","gbk17.t2","gbk18.t2","sv1.t2","sv2.t2","sv3.t2","sv4.t2","sv5.t2","sv6.t2","sv7.t2","sv8.t2","sv9.t2","sv10.t2","sv11.t2","sv12.t2","sv13.t2","sv14.t2","sv15.t2","sv16.t2","sv17.t2","sv18.t2","so1.t2","so2.t2","so3.t2","so4.t2","so5.t2","so6.t2","so7.t2","so8.t2","so9.t2","so10.t2","so11.t2","so12.t2","so13.t2","sr1.t2","sr2.t2","sr3.t2","sr4.t2","sr5.t2","sr6.t2","sr7.t2","age.t2","gender.t2","edu.t2","income.t2","pol_orient.t2","DV6_Post","ok.t2","gender.t2.d"
1,510,39,1,3,3,3,4,3,4,1,3,2,1,3,1,5,1,4,2,1,5,2,5,5,4,3,1,4,5,5,4,2,1,5,4,6,6,6,2,1,1,6,6,6,5,4,5,4,4,4,4,5,5,6,5,6,6,6,4,5,5,2,1,5,5,4,5,4,3,5,5,5,4,3,3,3,5,7,7,20,1,3,3,14,2,1,1
1,171643,61,1,5,4,4,4,4,4,1,1,2,1,1,3,2,4,2,4,4,1,4,2,5,5,3,3,4,5,6,6,3,3,6,4,6,5,5,3,1,5,3,5,5,3,5,5,6,6,6,6,6,3,3,3,5,5,5,5,3,2,4,3,4,4,2,4,4,3,4,3,4,4,4,4,4,2,6,1,53,1,6,5,57,3,1,1
1,1002,27,1,4,4,4,4,3,4,3,2,1,2,1,1,2,5,1,4,5,1,5,2,7,6,2,1,1,6,6,6,2,2,6,4,7,7,7,2,2,2,4,6,6,5,5,5,5,5,5,5,6,6,6,5,3,6,5,4,3,4,4,2,4,4,4,5,4,4,4,4,4,3,4,4,4,1,7,8,23,1,5,4,15,1,1,1
1,701,36,1,4,4,4,4,3,4,4,3,3,3,4,3,3,4,3,4,3,2,4,3,5,5,5,2,2,5,3,4,3,5,6,4,5,5,6,5,5,3,5,5,6,6,6,6,5,6,6,5,5,7,7,7,7,4,3,6,5,5,3,2,5,4,5,5,4,5,4,5,4,4,3,4,4,2,9,6,27,1,5,2,30,1,1,1
1,1068,88,1,5,5,4,4,4,5,1,1,1,1,1,1,1,4,1,5,5,1,5,1,7,7,1,2,1,7,4,7,1,1,6,4,7,7,6,1,1,1,7,7,7,7,4,4,7,7,7,7,7,5,6,7,6,7,5,7,5,5,5,2,5,5,4,4,5,5,5,5,5,4,5,4,4,2,6,8,31,1,5,7,49,1,1,1
1,424,85,1,4,4,4,4,3,4,3,2,2,2,1,2,2,4,4,4,4,1,4,2,4,4,3,3,4,4,5,4,4,2,3,5,3,5,4,2,5,4,4,5,6,6,5,6,4,5,5,5,5,4,5,5,5,6,5,6,3,4,3,4,3,4,3,4,3,3,4,4,4,4,3,2,3,3,6,7,55,2,5,6,15,1,1,0
1,813,83,1,4,4,5,4,4,5,2,1,1,1,1,2,1,4,2,4,4,1,4,1,5,6,3,3,3,4,5,3,3,2,6,4,5,6,5,2,3,1,6,6,6,6,6,6,7,7,6,5,5,6,7,5,6,7,6,4,4,3,5,2,4,4,4,4,3,4,4,4,4,4,4,5,5,2,7,8,23,2,3,1,36,1,1,0
1,677,72,1,4,4,4,4,4,4,2,2,2,1,1,2,2,2,2,3,3,3,3,3,6,5,3,1,1,5,3,5,2,4,5,4,5,5,5,2,2,1,5,5,5,4,4,5,6,6,6,6,6,3,3,3,2,5,3,4,4,3,3,2,4,5,3,4,4,5,4,4,5,4,3,4,4,3,7,7,34,1,3,5,40,1,1,1
1,289084,54,1,4,3,4,3,3,3,4,4,3,3,1,2,3,1,2,3,3,2,3,2,5,6,1,2,3,5,5,6,1,1,6,4,6,6,6,4,6,5,7,7,7,6,6,6,7,7,5,6,6,6,6,5,7,5,4,6,5,3,4,4,4,3,5,3,4,5,5,4,5,4,3,3,4,4,6,8,25,1,6,4,21,1,1,1
1,123561,90,1,3,3,2,3,2,2,2,2,2,2,2,1,3,2,4,2,2,4,1,3,6,5,1,1,2,6,2,4,2,3,7,4,5,5,4,2,4,4,6,6,6,7,6,6,5,6,5,5,5,6,6,3,5,6,5,5,4,2,2,3,3,3,4,4,3,3,3,2,4,2,3,3,2,5,7,8,21,2,3,1,50,1,1,0
